project,#cmt+pr+bi,#cmt+pr-bi,#cmt-pr+bi,#cmt-pr-bi
commons-beanutils,0,0,64,705
commons-bcel,0,2,87,915
commons-codec,0,0,86,1046
commons-io,5,159,110,1206
commons-dbcp,0,2,174,1176
commons-digester,0,0,39,1521
commons-jcs,0,0,193,775
commons-compress,15,131,199,1686
opennlp,9,60,214,1682
ant-ivy,2,42,415,1605
giraph,27,178,229,476
gora,10,264,65,456
calcite,21,31,824,1357
commons-configuration,0,1,201,2337
commons-net,0,0,156,1316
commons-collections,0,0,149,2277
commons-vfs,0,2,169,1257
mahout,3,128,632,1989
commons-validator,0,0,59,2059
parquet-mr,10,71,191,1543
nutch,104,677,327,1174
deltaspike,2,12,281,1346
knox,2,14,363,1035
eagle,43,94,150,600
lens,0,14,394,1475
wss4j,0,0,412,2334
cayenne,43,325,796,3712
commons-lang,18,306,307,3673
tika,40,430,673,2305
santuario-java,11,156,196,1935
archiva,4,28,703,5009
manifoldcf,55,307,643,2478
commons-math,2,38,569,5251
falcon,5,83,465,1444
zeppelin,217,1025,371,1479
flume,154,561,316,697
commons-imaging,1,0,61,755
systemml,0,0,786,3543
directory-fortress-core,2,11,163,700
pig,308,845,770,1885
struts,94,891,517,2384
kafka,444,2882,496,2086
tez,58,352,860,1779
jspwiki,0,0,475,5340
streams,98,680,60,555
samza,38,367,267,975
ranger,76,281,927,1638
helix,49,771,149,2054
mina-sshd,3,8,502,878
httpcomponents-client,30,260,544,1979
nifi,383,1123,640,2215
httpcomponents-core,10,222,239,2563
roller,0,72,220,2382
storm,306,4277,72,2672
xerces2-j,0,0,317,5821
kylin,94,936,1396,7502
oozie,4,71,702,1354
directory-kerby,1,7,257,1232
curator,90,886,108,1115
commons-scxml,3,9,88,548
xmlgraphics-batik,0,0,96,2391
commons-jexl,0,6,264,1634
freemarker,6,534,98,1855
directory-studio,12,27,392,2823
cxf-fediz,4,43,78,1268
pdfbox,444,2151,1595,5170
openwebbeans,0,26,1229,1928
zookeeper,0,0,437,1576
velocity-tools,0,0,37,1048
maven-archetype,25,125,73,457
fineract,110,412,204,3600
juddi,0,2,616,1031
karaf-cellar,1,33,441,878
derby,0,0,1435,7589
openjpa,2,14,1195,4104
maven-doxia,1,2,204,1037
maven-wagon,11,21,197,619
velocity-engine,0,14,439,2074
reef,5,20,136,3069
maven-scm,34,173,236,1004
phoenix,502,1322,2626,5521
oodt,58,345,172,1069
maven-surefire,101,132,586,1245
airavata,169,871,939,4835
portals-pluto,29,87,293,1523
qpid-jms,0,4,321,1464
avro,45,432,166,1124
activemq,200,1380,2196,5805
uima-ducc,0,0,1103,2211
sis,4,109,301,6602
jena,128,1133,570,14503
usergrid,34,2944,83,6189
