project,#-pr-bi,#+pr-bi,#+pr+bi,#-pr+bi
commons-rdf,1019,237,28,27
ant-ivy,2455,65,7,662
commons-math,6293,41,5,883
mahout,2653,232,44,1238
opennlp,2158,65,18,444
calcite,1338,27,34,1527
cayenne,4228,324,100,1967
archiva,8935,32,4,1290
bigtop,3080,208,,10
commons-bcel,1300,5,,124
commons-beanutils,1220,,,121
commons-codec,1650,,,188
commons-collections,3167,,,213
commons-compress,2115,154,31,455
commons-configuration,3348,3,,366
commons-dbcp,1928,2,,275
commons-digester,2467,2,,66
commons-io,1791,246,9,216
commons-jcs,1229,,,393
commons-lang,4824,387,33,548
commons-net,2014,,,256
commons-validator,3219,,,197
commons-vfs,1905,6,,301
giraph,510,184,47,380
gora,815,290,37,187
parquet-mr,1401,71,26,751
wss4j,3101,,,633
kylin,8965,1582,169,2259
nutch,1689,812,287,744
tika,3164,589,88,1092
deltaspike,1770,19,6,516
systemml,5038,,,1158
lens,1692,14,,712
knox,1272,30,3,764
jspwiki,7694,3,,1112
manifoldcf,4274,523,87,1052
eagle,654,111,76,278
santuario-java,2854,215,14,293
kafka,1281,2341,1606,1743
zeppelin,1681,1038,740,1276
struts,3730,1090,125,1135
pig,2014,958,634,1458
falcon,1537,122,17,874
xerces2-j,7384,,,403
tez,1665,343,150,1525
storm,5045,6594,1083,375
flume,874,729,358,598
pdfbox,5557,2322,529,2005
nifi,2223,1006,820,1327
commons-imaging,910,,1,155
derby,6226,,,4747
ranger,1793,318,142,1532
directory-fortress-core,1270,12,2,333
phoenix,6379,1499,502,2626
helix,2657,857,49,149
jena,19347,1320,128,570
httpcomponents-client,2763,369,30,544
httpcomponents-core,3365,291,10,239
streams,921,866,98,60
samza,1458,511,38,267
roller,4371,207,,220
mina-sshd,1350,10,3,502
jackrabbit,13147,285,,
oozie,2299,107,4,702
activemq,8149,1977,200,2196
maven,12378,216,,
airavata,7017,1388,169,939
openjpa,6044,29,2,1195
directory-studio,5617,40,12,392
xmlgraphics-batik,3664,,,96
curator,1794,1139,90,108
directory-kerby,1773,43,1,257
fineract,5154,645,110,204
freemarker,2672,594,6,98
openwebbeans,3015,27,,1229
commons-jexl,2734,8,,534
commons-scxml,900,7,6,303
cxf-fediz,2365,100,4,78
zookeeper,1775,,,1177
tapestry-5,6310,1,,
reef,3779,32,5,136
juddi,2500,3,,616
velocity-engine,4372,22,,439
velocity-tools,1867,1,,37
karaf-cellar,2049,66,1,441
maven-archetype,1389,277,25,73
maven-doxia,1757,5,1,204
maven-scm,1634,279,34,236
maven-surefire,2371,259,101,586
maven-wagon,1245,31,11,197
oodt,2033,620,58,172
portals-pluto,2684,83,39,514
qpid-jms,1725,8,,572
sis,6831,107,7,579
uima-ducc,3265,5,,1748
avro,1144,391,309,944
usergrid,7744,3251,50,142
james,5743,21,,
