project,bot_ids
commons-math,""
ant-ivy,""
archiva,""
commons-digester,""
commons-rdf,""
commons-collections,5ff191c8c26a57681e7b99d0
mahout,5ff191c8c26a57681e7b99d0
commons-codec,5ff191c8c26a57681e7b99d0
opennlp,""
commons-beanutils,5ff191c8c26a57681e7b99d0
commons-configuration,5ff191c8c26a57681e7b99d0
commons-compress,5ff191c8c26a57681e7b99d0
bigtop,""
calcite,5ff191c8c26a57681e7b99d0
cayenne,""
commons-bcel,5ff191c8c26a57681e7b99d0
giraph,""
commons-jcs,""
commons-io,5ff191c8c26a57681e7b99d0
commons-dbcp,5ff191c8c26a57681e7b99d0
commons-vfs,5ff191c8c26a57681e7b99d0
gora,""
commons-net,5ff191c8c26a57681e7b99d0
manifoldcf,""
wss4j,""
commons-lang,5ff191c8c26a57681e7b99d0
commons-validator,5ff191c8c26a57681e7b99d0
nutch,""
parquet-mr,""
kylin,5ff191c8c26a57681e7b99d0
deltaspike,5ff191c8c26a57681e7b99d0
systemml,""
knox,""
jspwiki,5ff191c8c26a57681e7b99d0
santuario-java,""
lens,5ff191c8c26a57681e7b99d0
eagle,""
pig,""
tika,""
kafka,""
falcon,""
zeppelin,""
xerces2-j,""
pdfbox,""
tez,""
flume,""
struts,""
ranger,""
directory-fortress-core,""
storm,""
derby,""
nifi,5ff191c8c26a57681e7b99d0
commons-imaging,5ff191c8c26a57681e7b99d0
jackrabbit,""
helix,5ff191c8c26a57681e7b99d0
httpcomponents-core,""
mina-sshd,""
httpcomponents-client,""
jena,5ff191c8c26a57681e7b99d0
phoenix,""
openjpa,""
maven,""
roller,""
directory-studio,""
oozie,""
activemq,""
streams,5ff191c8c26a57681e7b99d0
airavata,""
samza,""
xmlgraphics-batik,""
directory-kerby,5ff191c8c26a57681e7b99d0
cxf-fediz,""
freemarker,""
commons-jexl,5ff191c8c26a57681e7b99d0
curator,5ff191c8c26a57681e7b99d0
fineract,""
zookeeper,""
commons-scxml,""
maven-doxia,5ff191c8c26a57681e7b99d0
openwebbeans,""
karaf-cellar,""
juddi,""
reef,""
maven-archetype,5ff191c8c26a57681e7b99d0
velocity-tools,""
velocity-engine,""
tapestry-5,""
maven-surefire,""
maven-wagon,""
qpid-jms,""
maven-scm,""
oodt,""
sis,""
portals-pluto,""
avro,5ff191c8c26a57681e7b99d0
uima-ducc,""
usergrid,""
james,""
